Employee ID,Skill Set,Experience Level,Availability (%),Job Role,Salary (USD),Performance Score,Assigned Product ID,Development Timeline (Months),Task Completion Time (Days),Tool and Software Usage,Team Communication Metrics
EMP0001,Product Design,Senior,76,Analyst,137061,3.5,PDD0654,7,10.413278725444686,GitHub,3.5
EMP0002,Project Management,Senior,78,Developer,99790,1.2,PDD0848,5,7.403769668744772,Jira,1.2
EMP0003,Market Analysis,Senior,68,Developer,64720,1.3,PDD0147,11,16.556046627345413,GitHub,1.2
EMP0004,Software Development,Mid,92,Analyst,112113,1.7,PDD0807,4,6.029303358032924,Slack,1.7
EMP0005,Product Design,Senior,76,Analyst,90451,3.3,PDD0892,1,1.4421255705606526,GitHub,3.5
EMP0006,Software Development,Senior,51,Developer,100732,4.0,PDD0605,6,9.02510191185085,Slack,3.9
EMP0007,Data Analysis,Senior,89,Analyst,129115,4.1,PDD0294,9,13.52180135937724,Jira,4.1
EMP0008,Market Analysis,Junior,88,Project Manager,129963,2.1,PDD0457,2,3.032297014607084,Jira,2.0
EMP0009,Product Design,Senior,50,Analyst,129140,2.5,PDD0306,1,1.405080196347867,Jira,2.6
EMP0010,Software Development,Junior,63,Analyst,115922,1.9,PDD0390,10,15.077774960744042,Jira,1.8
EMP0011,Product Design,Senior,57,Developer,82411,1.1,PDD0026,5,7.411672187608831,Jira,1.0
EMP0012,Project Management,Mid,76,Project Manager,88620,3.0,PDD0689,4,6.005124271788271,GitHub,3.0
EMP0013,Project Management,Junior,82,Designer,55249,3.2,PDD0100,4,5.963569003480382,Slack,3.1
EMP0014,Product Design,Senior,80,Developer,59143,4.7,PDD0532,1,1.505189302010705,Jira,4.9
EMP0015,Market Analysis,Mid,79,Project Manager,103732,3.8,PDD0361,1,1.625716748685702,Jira,3.7
EMP0016,Product Design,Junior,74,Designer,74512,4.7,PDD0665,1,1.5128065803174067,Slack,4.5
EMP0017,Product Design,Mid,98,Designer,127613,2.1,PDD0648,8,12.096032935245526,GitHub,2.1
EMP0018,Product Design,Senior,85,Project Manager,74686,3.9,PDD0623,1,1.5201586286790683,Slack,3.7
EMP0019,Product Design,Senior,87,Designer,66099,3.4,PDD0104,5,7.688457537210961,GitHub,3.2
EMP0020,Market Analysis,Senior,50,Designer,82171,2.2,PDD0411,10,15.049149528828963,Slack,2.1
EMP0021,Data Analysis,Senior,80,Project Manager,73785,1.8,PDD0640,6,8.858191730375792,GitHub,1.7
EMP0022,Data Analysis,Junior,84,Project Manager,121569,2.2,PDD0021,7,10.406672557816265,Jira,2.1
EMP0023,Software Development,Junior,70,Project Manager,146968,4.9,PDD0203,11,16.42810507062951,GitHub,4.8
EMP0024,Market Analysis,Junior,83,Developer,80756,1.1,PDD0467,5,7.47028330867955,GitHub,1.0
EMP0025,Market Analysis,Senior,66,Project Manager,78440,4.6,PDD0909,9,13.434465900638958,Slack,4.7
EMP0026,Market Analysis,Senior,58,Developer,79800,4.1,PDD0687,1,1.3575142014506807,Jira,4.1
EMP0027,Project Management,Mid,78,Developer,81058,3.2,PDD0901,7,10.49403508799879,GitHub,3.2
EMP0028,Market Analysis,Mid,57,Project Manager,129037,4.4,PDD0090,6,8.785721089430721,Slack,4.4
EMP0029,Project Management,Junior,68,Designer,76352,1.2,PDD0071,9,13.673229288156712,Slack,1.2
EMP0030,Data Analysis,Senior,96,Developer,52238,3.2,PDD0653,11,16.49136596215689,Slack,3.2
EMP0031,Data Analysis,Senior,55,Developer,73438,2.1,PDD0752,6,9.162498062140262,Slack,2.2
EMP0032,Project Management,Mid,73,Designer,121469,1.0,PDD0600,2,2.9044054875606116,Jira,1.1
EMP0033,Product Design,Junior,55,Designer,142215,3.5,PDD0368,9,13.488965716996624,Slack,3.6
EMP0034,Data Analysis,Senior,89,Analyst,63425,3.6,PDD0152,4,6.097456275151974,GitHub,3.9
EMP0035,Product Design,Mid,52,Analyst,53097,3.4,PDD0738,9,13.690901962129383,Jira,3.3
EMP0036,Software Development,Junior,80,Developer,119741,2.6,PDD0039,3,4.5575669903612255,Slack,2.5
EMP0037,Project Management,Junior,80,Project Manager,126735,4.2,PDD0708,11,16.374327350223343,Jira,4.3
EMP0038,Software Development,Junior,61,Developer,123619,2.4,PDD0084,3,4.49780111124153,Jira,2.3
EMP0039,Project Management,Mid,57,Developer,68882,3.4,PDD0205,11,16.385452643698336,Slack,3.4
EMP0040,Software Development,Senior,92,Developer,111592,5.0,PDD0569,5,7.595406829686509,Jira,5.0
EMP0041,Software Development,Mid,75,Designer,58980,4.4,PDD0823,8,12.04991979766589,Slack,4.6
EMP0042,Market Analysis,Senior,75,Designer,101873,3.6,PDD0316,9,13.603613742956465,Slack,3.5
EMP0043,Data Analysis,Senior,64,Project Manager,67395,3.7,PDD0821,4,6.055538701673767,GitHub,3.6
EMP0044,Project Management,Senior,62,Analyst,61877,4.4,PDD0990,8,12.034289213681417,Jira,4.2
EMP0045,Data Analysis,Junior,71,Project Manager,78008,1.7,PDD0869,10,14.870098061002327,Jira,1.7
EMP0046,Market Analysis,Senior,62,Designer,86376,1.4,PDD0151,5,7.469004630941584,Jira,1.4
EMP0047,Data Analysis,Junior,95,Project Manager,119824,1.9,PDD0684,9,13.570982842238617,Jira,1.9
EMP0048,Project Management,Mid,58,Designer,79596,4.0,PDD0958,3,4.416928458634677,Slack,4.0
EMP0049,Market Analysis,Senior,73,Developer,56943,4.1,PDD0077,8,11.884125525421458,Slack,4.1
EMP0050,Product Design,Mid,52,Analyst,108111,1.1,PDD0880,5,7.58288229606034,GitHub,1.1
EMP0051,Market Analysis,Mid,72,Designer,133310,1.2,PDD0422,8,12.003930291188762,Slack,1.2
EMP0052,Project Management,Senior,61,Designer,145104,4.9,PDD0314,11,16.610619097560548,Slack,5.0
EMP0053,Software Development,Senior,90,Analyst,134919,3.0,PDD0887,10,14.973146133249964,Jira,2.8
EMP0054,Data Analysis,Junior,93,Developer,103519,3.1,PDD0877,1,1.5191006205826945,Jira,3.1
EMP0055,Software Development,Senior,60,Developer,124271,3.4,PDD0910,9,13.478636665946826,Slack,3.3
EMP0056,Product Design,Junior,68,Project Manager,104510,4.9,PDD0164,5,7.525800460801636,GitHub,5.0
EMP0057,Software Development,Junior,58,Developer,66334,1.6,PDD0953,3,4.697576329519813,GitHub,1.6
EMP0058,Data Analysis,Senior,86,Designer,123092,3.5,PDD0568,2,3.122885610745167,GitHub,3.6
EMP0059,Software Development,Senior,59,Designer,114469,1.3,PDD0169,3,4.607932522662749,GitHub,1.4
EMP0060,Market Analysis,Senior,58,Project Manager,144058,3.1,PDD0389,1,1.4003119904119035,Jira,3.0
EMP0061,Project Management,Junior,82,Analyst,50327,2.8,PDD0587,6,8.96654217103705,Jira,2.8
EMP0062,Software Development,Junior,62,Designer,55710,2.1,PDD0512,7,10.509433452331187,GitHub,2.2
EMP0063,Project Management,Junior,69,Developer,121443,2.8,PDD0144,11,16.4581448678905,GitHub,2.8
EMP0064,Project Management,Junior,93,Developer,89001,3.8,PDD0332,10,15.077551723416889,Slack,3.8
EMP0065,Project Management,Junior,60,Designer,52499,4.4,PDD0785,7,10.566602003539671,Jira,4.3
EMP0066,Market Analysis,Senior,90,Designer,127246,4.1,PDD0159,2,2.86149846748478,Slack,4.1
EMP0067,Project Management,Junior,78,Developer,94441,3.3,PDD0200,3,4.48414356000592,GitHub,3.3
EMP0068,Software Development,Senior,96,Project Manager,68249,4.6,PDD0908,4,5.858407892995525,GitHub,4.7
EMP0069,Project Management,Junior,62,Designer,98879,3.8,PDD0904,10,14.906061213100772,Slack,3.9
EMP0070,Market Analysis,Junior,93,Designer,120204,4.4,PDD0269,7,10.561899510985034,Slack,4.4
EMP0071,Project Management,Senior,63,Analyst,89310,2.6,PDD0887,10,15.097792174208399,Slack,2.5
EMP0072,Software Development,Mid,58,Project Manager,136687,3.8,PDD0151,8,11.788565123388071,GitHub,3.8
EMP0073,Market Analysis,Mid,91,Analyst,92079,1.3,PDD0261,9,13.513705402593127,Jira,1.4
EMP0074,Product Design,Junior,87,Designer,95973,4.8,PDD0968,6,9.106662743204197,GitHub,4.9
EMP0075,Product Design,Senior,68,Developer,101989,3.5,PDD0259,7,10.328986405373737,Slack,3.5
EMP0076,Software Development,Mid,91,Developer,134799,4.4,PDD0639,8,11.993804393373184,GitHub,4.4
EMP0077,Data Analysis,Mid,96,Designer,53415,2.9,PDD0453,7,10.298551830775363,Slack,2.9
EMP0078,Project Management,Senior,57,Designer,78136,1.1,PDD0810,7,10.499557773728139,GitHub,1.1
EMP0079,Data Analysis,Mid,67,Analyst,134274,3.0,PDD0298,9,13.632906132622816,Jira,2.8
EMP0080,Market Analysis,Junior,83,Developer,82470,3.9,PDD0281,10,15.027751178770973,Jira,3.8
EMP0081,Project Management,Junior,85,Developer,141762,1.3,PDD0608,6,8.95404861649787,Slack,1.4
EMP0082,Data Analysis,Junior,58,Analyst,98765,1.4,PDD0592,1,1.6062325161081208,Jira,1.4
EMP0083,Software Development,Mid,65,Project Manager,77572,1.2,PDD0075,3,4.411281696072209,GitHub,1.3
EMP0084,Market Analysis,Senior,54,Developer,138291,1.5,PDD0664,5,7.654990397059455,Slack,1.5
EMP0085,Project Management,Senior,64,Analyst,104500,3.5,PDD0617,9,13.516794374800977,Jira,3.4
EMP0086,Product Design,Junior,73,Project Manager,148690,4.5,PDD0600,1,1.4582300615317125,Slack,4.5
EMP0087,Project Management,Junior,96,Developer,106690,2.9,PDD0126,2,3.036393468323726,Slack,3.0
