Product ID,Product Name,Launch Date,Budget (USD),Actual Cost (USD),Key Features,Customer Feedback Score,Market Performance
PDD0001,Product 1,2019-01-06,171958,189153.84453988247,Feature 2,1.8,High
PDD0002,Product 2,2019-01-13,196867,216553.7014211889,Feature 3,4.6,High
PDD0003,Product 3,2019-01-20,181932,200125.42766516266,Feature 4,3.1,Low
PDD0004,Product 4,2019-01-27,153694,169063.23706973897,Feature 5,2.8,Low
PDD0005,Product 5,2019-02-03,169879,186866.91098529473,Feature 6,3.2,Low
PDD0006,Product 6,2019-02-10,160268,176294.9129649485,Feature 7,1.7,High
PDD0007,Product 7,2019-02-17,104886,115374.54216860772,Feature 8,3.5,Low
PDD0008,Product 8,2019-02-24,187337,206070.60894421555,Feature 9,2.5,Low
PDD0009,Product 9,2019-03-03,137498,151247.71291353524,Feature 10,4.6,High
PDD0010,Product 10,2019-03-10,162727,178999.53880388205,Feature 1,1.7,High
PDD0011,Product 11,2019-03-17,176324,193956.53497046276,Feature 2,3.0,Low
PDD0012,Product 12,2019-03-24,66023,72625.26703826583,Feature 3,3.4,Low
PDD0013,Product 13,2019-03-31,91090,100198.95519728604,Feature 4,1.1,High
PDD0014,Product 14,2019-04-07,117221,128942.88759019258,Feature 5,2.5,Low
PDD0015,Product 15,2019-04-14,114820,126301.85662914277,Feature 6,3.9,Medium
PDD0016,Product 16,2019-04-21,50769,55846.046538975555,Feature 7,4.3,Medium
PDD0017,Product 17,2019-04-28,109735,120708.53031056662,Feature 8,2.3,Low
PDD0018,Product 18,2019-05-05,114925,126417.616650083,Feature 9,4.2,Medium
PDD0019,Product 19,2019-05-12,55311,60842.20399924399,Feature 10,4.9,High
PDD0020,Product 20,2019-05-19,153355,168690.39993797193,Feature 1,4.4,Medium
PDD0021,Product 21,2019-05-26,135305,148835.74298477286,Feature 2,1.5,High
PDD0022,Product 22,2019-06-02,180608,198668.99497325957,Feature 3,4.0,Medium
PDD0023,Product 23,2019-06-09,134478,147925.7436233558,Feature 4,2.3,Low
PDD0024,Product 24,2019-06-16,172537,189790.34317947007,Feature 5,5.0,High
PDD0025,Product 25,2019-06-23,199503,219453.26434679102,Feature 6,2.9,Low
